Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21608005.html,50,29,10,42,8,083913,,N,No presentada/o,,
2,Licenciatura 2026,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21608005.html,50,29,10,42,8,084030,,N,No presentada/o,,
2,Licenciatura 2026,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21608005.html,50,29,10,42,8,089104,,N,No presentada/o,,
2,Licenciatura 2026,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21608005.html,50,29,10,42,8,094326,,N,No presentada/o,,
2,Licenciatura 2026,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21608005.html,50,29,10,42,8,094875,44,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21608005.html,50,29,10,42,8,099886,,N,No presentada/o,,
2,Licenciatura 2026,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21608005.html,50,29,10,42,8,113060,,N,No presentada/o,,
2,Licenciatura 2026,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21608005.html,50,29,10,42,8,131874,,N,No presentada/o,,
2,Licenciatura 2026,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21608005.html,50,29,10,42,8,136429,,N,No presentada/o,,
2,Licenciatura 2026,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21608005.html,50,29,10,42,8,136560,,N,No presentada/o,,
2,Licenciatura 2026,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21608005.html,50,29,10,42,8,137013,,N,No presentada/o,,
2,Licenciatura 2026,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21608005.html,50,29,10,42,8,140100,,N,No presentada/o,,
2,Licenciatura 2026,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21608005.html,50,29,10,42,8,141194,,N,No presentada/o,,
