Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,071069,70,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,071202,54,,No seleccionada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,071392,38,,No seleccionada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,071407,,N,No presentada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,071820,,N,No presentada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,072379,87,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,072959,,N,No presentada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,073087,,N,No presentada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,073972,91,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,074390,,N,No presentada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,075165,65,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,077042,,N,No presentada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,077058,,N,No presentada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,077897,55,,No seleccionada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,078119,,N,No presentada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,078693,46,,No seleccionada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,079562,73,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,079821,59,,No seleccionada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,080523,39,,No seleccionada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,080709,35,,No seleccionada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,081681,,N,No presentada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,083199,54,,No seleccionada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,083208,,N,No presentada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,083313,59,,No seleccionada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,083811,,N,No presentada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,084356,,N,No presentada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,084920,53,,No seleccionada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,085678,79,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,086825,55,,No seleccionada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,087244,48,,No seleccionada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,087363,40,,No seleccionada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,088629,55,,No seleccionada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,088708,,N,No presentada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,088776,,N,No presentada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,089166,,N,No presentada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,089797,,N,No presentada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,089907,,N,No presentada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,090109,67,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,090594,56,,No seleccionada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,090815,61,,No seleccionada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,091237,52,,No seleccionada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,091322,,N,No presentada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,091831,84,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,092900,,N,No presentada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,093565,,N,No presentada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,095073,84,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,096061,70,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,096983,42,,No seleccionada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,099007,,N,No presentada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,099131,52,,No seleccionada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,099194,78,S,Seleccionada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,099341,53,,No seleccionada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,102780,61,,No seleccionada/o,,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,102957,83,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21801005.html,25,129,74,63,33,104076,,N,No presentada/o,,
