Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000015.html,8,52,23,40,19,075556,,N,No presentada/o,,
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000015.html,8,52,23,40,19,077614,37,,No seleccionada/o,,
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000015.html,8,52,23,40,19,083091,55,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000015.html,8,52,23,40,19,094801,,N,No presentada/o,,
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000015.html,8,52,23,40,19,096177,49,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000015.html,8,52,23,40,19,098250,,N,No presentada/o,,
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000015.html,8,52,23,40,19,105648,53,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000015.html,8,52,23,40,19,108694,,N,No presentada/o,,
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000015.html,8,52,23,40,19,110901,45,S,Seleccionada/o,,
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000015.html,8,52,23,40,19,113118,,N,No presentada/o,,
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000015.html,8,52,23,40,19,115845,44,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000015.html,8,52,23,40,19,116265,,N,No presentada/o,,
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000015.html,8,52,23,40,19,119585,40,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000015.html,8,52,23,40,19,121574,45,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000015.html,8,52,23,40,19,122271,93,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000015.html,8,52,23,40,19,122333,,N,No presentada/o,,
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000015.html,8,52,23,40,19,135624,,N,No presentada/o,,
2,Licenciatura 2026,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000015.html,8,52,23,40,19,135745,,N,No presentada/o,,
