Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,220,22000095,ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000095.html,160,504,331,53,171,070004,35,,No seleccionada/o,,
2,Licenciatura 2026,220,22000095,ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000095.html,160,504,331,53,171,070251,37,,No seleccionada/o,,
2,Licenciatura 2026,220,22000095,ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000095.html,160,504,331,53,171,070518,44,,No seleccionada/o,,
2,Licenciatura 2026,220,22000095,ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000095.html,160,504,331,53,171,070523,46,,No seleccionada/o,,
2,Licenciatura 2026,220,22000095,ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000095.html,160,504,331,53,171,070970,,N,No presentada/o,,
2,Licenciatura 2026,220,22000095,ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000095.html,160,504,331,53,171,071014,44,,No seleccionada/o,,
2,Licenciatura 2026,220,22000095,ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000095.html,160,504,331,53,171,071050,,N,No presentada/o,,
2,Licenciatura 2026,220,22000095,ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000095.html,160,504,331,53,171,071249,32,,No seleccionada/o,,
2,Licenciatura 2026,220,22000095,ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000095.html,160,504,331,53,171,071332,90,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,220,22000095,ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000095.html,160,504,331,53,171,071549,48,,No seleccionada/o,,
2,Licenciatura 2026,220,22000095,ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000095.html,160,504,331,53,171,071664,42,,No seleccionada/o,,
2,Licenciatura 2026,220,22000095,ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000095.html,160,504,331,53,171,071750,50,,No seleccionada/o,,
2,Licenciatura 2026,220,22000095,ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000095.html,160,504,331,53,171,071755,,N,No presentada/o,,
2,Licenciatura 2026,220,22000095,ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000095.html,160,504,331,53,171,072014,,N,No presentada/o,,
2,Licenciatura 2026,220,22000095,ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000095.html,160,504,331,53,171,072077,30,,No seleccionada/o,,
2,Licenciatura 2026,220,22000095,ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000095.html,160,504,331,53,171,072106,,N,No presentada/o,,
2,Licenciatura 2026,220,22000095,ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000095.html,160,504,331,53,171,072146,,N,No presentada/o,,
2,Licenciatura 2026,220,22000095,ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000095.html,160,504,331,53,171,072292,81,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,220,22000095,ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000095.html,160,504,331,53,171,072405,63,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,220,22000095,ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000095.html,160,504,331,53,171,072554,51,,No seleccionada/o,,
2,Licenciatura 2026,220,22000095,ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000095.html,160,504,331,53,171,072570,55,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,220,22000095,ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000095.html,160,504,331,53,171,072571,51,,No seleccionada/o,,
2,Licenciatura 2026,220,22000095,ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22000095.html,160,504,331,53,171,072578,56,S,Seleccionada/o,Cita para entregar documentación.,
