Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22306005.html,17,25,18,40,18,070253,68,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22306005.html,17,25,18,40,18,075433,71,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22306005.html,17,25,18,40,18,078253,44,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22306005.html,17,25,18,40,18,088750,89,S,Seleccionada/o,,
2,Licenciatura 2026,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22306005.html,17,25,18,40,18,093791,63,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22306005.html,17,25,18,40,18,126952,,N,No presentada/o,,
2,Licenciatura 2026,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22306005.html,17,25,18,40,18,129073,61,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22306005.html,17,25,18,40,18,136023,40,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22306005.html,17,25,18,40,18,136531,56,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22306005.html,17,25,18,40,18,136773,50,S,Seleccionada/o,Cita para entregar documentación.,
