Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22508005.html,22,20,7,60,6,073044,76,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22508005.html,22,20,7,60,6,073140,,N,No presentada/o,,
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22508005.html,22,20,7,60,6,077478,,N,No presentada/o,,
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22508005.html,22,20,7,60,6,088581,,N,No presentada/o,,
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22508005.html,22,20,7,60,6,089464,71,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22508005.html,22,20,7,60,6,129314,93,S,Seleccionada/o,,
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22508005.html,22,20,7,60,6,135847,88,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22508005.html,22,20,7,60,6,137650,,N,No presentada/o,,
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22508005.html,22,20,7,60,6,138136,,N,No presentada/o,,
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22508005.html,22,20,7,60,6,139775,60,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22508005.html,22,20,7,60,6,142624,,N,No presentada/o,,
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22508005.html,22,20,7,60,6,143142,,N,No presentada/o,,
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22508005.html,22,20,7,60,6,143408,,N,No presentada/o,,
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22508005.html,22,20,7,60,6,146434,,N,No presentada/o,,
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22508005.html,22,20,7,60,6,147175,,N,No presentada/o,,
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22508005.html,22,20,7,60,6,147702,,N,No presentada/o,,
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22508005.html,22,20,7,60,6,149140,,N,No presentada/o,,
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22508005.html,22,20,7,60,6,150694,66,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22508005.html,22,20,7,60,6,150929,,N,No presentada/o,,
2,Licenciatura 2026,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22508005.html,22,20,7,60,6,150943,35,,No seleccionada/o,,
