Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,230,23007005,CIENCIAS AGROFORESTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/23007005.html,40,30,22,42,20,070413,42,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,230,23007005,CIENCIAS AGROFORESTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/23007005.html,40,30,22,42,20,074547,85,S,Seleccionada/o,,
2,Licenciatura 2026,230,23007005,CIENCIAS AGROFORESTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/23007005.html,40,30,22,42,20,074747,,N,No presentada/o,,
2,Licenciatura 2026,230,23007005,CIENCIAS AGROFORESTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/23007005.html,40,30,22,42,20,075408,70,S,Seleccionada/o,,
2,Licenciatura 2026,230,23007005,CIENCIAS AGROFORESTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/23007005.html,40,30,22,42,20,076971,,N,No presentada/o,,
2,Licenciatura 2026,230,23007005,CIENCIAS AGROFORESTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/23007005.html,40,30,22,42,20,080999,,N,No presentada/o,,
2,Licenciatura 2026,230,23007005,CIENCIAS AGROFORESTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/23007005.html,40,30,22,42,20,086733,,N,No presentada/o,,
2,Licenciatura 2026,230,23007005,CIENCIAS AGROFORESTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/23007005.html,40,30,22,42,20,089465,74,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,230,23007005,CIENCIAS AGROFORESTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/23007005.html,40,30,22,42,20,092847,49,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,230,23007005,CIENCIAS AGROFORESTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/23007005.html,40,30,22,42,20,107399,59,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,230,23007005,CIENCIAS AGROFORESTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/23007005.html,40,30,22,42,20,118117,82,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,230,23007005,CIENCIAS AGROFORESTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/23007005.html,40,30,22,42,20,125254,66,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,230,23007005,CIENCIAS AGROFORESTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/23007005.html,40,30,22,42,20,131050,72,S,Seleccionada/o,Cita para entregar documentación.,
2,Licenciatura 2026,230,23007005,CIENCIAS AGROFORESTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/23007005.html,40,30,22,42,20,131946,,N,No presentada/o,,
2,Licenciatura 2026,230,23007005,CIENCIAS AGROFORESTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/23007005.html,40,30,22,42,20,135351,,N,No presentada/o,,
