Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
3,Licenciatura 2026,301,30107005,ADMINISTRACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30107005.html,45,27,10,42,8,208525,,N,No presentada/o,,
3,Licenciatura 2026,301,30107005,ADMINISTRACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30107005.html,45,27,10,42,8,239630,73,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,301,30107005,ADMINISTRACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30107005.html,45,27,10,42,8,247048,,N,No presentada/o,,
3,Licenciatura 2026,301,30107005,ADMINISTRACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30107005.html,45,27,10,42,8,247753,,N,No presentada/o,,
3,Licenciatura 2026,301,30107005,ADMINISTRACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30107005.html,45,27,10,42,8,249017,,N,No presentada/o,,
3,Licenciatura 2026,301,30107005,ADMINISTRACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30107005.html,45,27,10,42,8,249091,,N,No presentada/o,,
3,Licenciatura 2026,301,30107005,ADMINISTRACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30107005.html,45,27,10,42,8,249727,36,,No seleccionada/o,,
3,Licenciatura 2026,301,30107005,ADMINISTRACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30107005.html,45,27,10,42,8,250244,51,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,301,30107005,ADMINISTRACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30107005.html,45,27,10,42,8,250581,,N,No presentada/o,,
3,Licenciatura 2026,301,30107005,ADMINISTRACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30107005.html,45,27,10,42,8,250701,,N,No presentada/o,,
