Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
3,Licenciatura 2026,301,30111005,ADMINISTRACION,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30111005.html,40,333,162,40,143,200762,,N,No presentada/o,,
3,Licenciatura 2026,301,30111005,ADMINISTRACION,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30111005.html,40,333,162,40,143,201808,64,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,301,30111005,ADMINISTRACION,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30111005.html,40,333,162,40,143,205103,,N,No presentada/o,,
3,Licenciatura 2026,301,30111005,ADMINISTRACION,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30111005.html,40,333,162,40,143,205405,64,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,301,30111005,ADMINISTRACION,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30111005.html,40,333,162,40,143,209220,69,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,301,30111005,ADMINISTRACION,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30111005.html,40,333,162,40,143,209647,76,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,301,30111005,ADMINISTRACION,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30111005.html,40,333,162,40,143,210656,38,,No seleccionada/o,,
3,Licenciatura 2026,301,30111005,ADMINISTRACION,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30111005.html,40,333,162,40,143,210809,,N,No presentada/o,,
3,Licenciatura 2026,301,30111005,ADMINISTRACION,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30111005.html,40,333,162,40,143,215395,,N,No presentada/o,,
3,Licenciatura 2026,301,30111005,ADMINISTRACION,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30111005.html,40,333,162,40,143,221335,67,S,Seleccionada/o,Cita para entregar documentación.,
