Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
3,Licenciatura 2026,305,30500075,DERECHO,FACULTAD DE DERECHO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30500075.html,586,2129,1446,65,610,200007,58,,No seleccionada/o,,
3,Licenciatura 2026,305,30500075,DERECHO,FACULTAD DE DERECHO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30500075.html,586,2129,1446,65,610,200013,51,,No seleccionada/o,,
3,Licenciatura 2026,305,30500075,DERECHO,FACULTAD DE DERECHO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30500075.html,586,2129,1446,65,610,200030,,N,No presentada/o,,
3,Licenciatura 2026,305,30500075,DERECHO,FACULTAD DE DERECHO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30500075.html,586,2129,1446,65,610,200031,62,,No seleccionada/o,,
3,Licenciatura 2026,305,30500075,DERECHO,FACULTAD DE DERECHO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30500075.html,586,2129,1446,65,610,200032,,N,No presentada/o,,
3,Licenciatura 2026,305,30500075,DERECHO,FACULTAD DE DERECHO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30500075.html,586,2129,1446,65,610,200057,,N,No presentada/o,,
3,Licenciatura 2026,305,30500075,DERECHO,FACULTAD DE DERECHO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30500075.html,586,2129,1446,65,610,200063,,N,No presentada/o,,
3,Licenciatura 2026,305,30500075,DERECHO,FACULTAD DE DERECHO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30500075.html,586,2129,1446,65,610,200083,32,,No seleccionada/o,,
3,Licenciatura 2026,305,30500075,DERECHO,FACULTAD DE DERECHO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30500075.html,586,2129,1446,65,610,200092,67,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,305,30500075,DERECHO,FACULTAD DE DERECHO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30500075.html,586,2129,1446,65,610,200100,,N,No presentada/o,,
