Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,200002,60,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,200015,44,,No seleccionada/o,,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,200023,60,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,200051,68,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,200142,,N,No presentada/o,,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,200211,,N,No presentada/o,,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,200374,,N,No presentada/o,,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,200452,58,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,200572,32,,No seleccionada/o,,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,200701,90,S,Seleccionada/o,,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,200785,34,,No seleccionada/o,,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,200828,52,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,200857,,N,No presentada/o,,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,200874,55,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,201027,34,,No seleccionada/o,,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,201109,,N,No presentada/o,,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,201123,71,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,201187,42,,No seleccionada/o,,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,201189,34,,No seleccionada/o,,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,201244,49,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,201284,59,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,201296,66,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,201310,37,,No seleccionada/o,,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,201319,34,,No seleccionada/o,,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,201469,,N,No presentada/o,,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,201495,,N,No presentada/o,,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,201519,,N,No presentada/o,,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,201561,66,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,201585,62,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,201591,,N,No presentada/o,,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,201634,58,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,201683,57,S,Seleccionada/o,,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,201828,51,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,201841,,N,No presentada/o,,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,201848,86,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,201860,48,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30502005.html,199,944,657,46,483,201873,,N,No presentada/o,,
