Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
3,Licenciatura 2026,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30904005.html,97,72,58,40,44,200003,50,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30904005.html,97,72,58,40,44,201294,37,,No seleccionada/o,,
3,Licenciatura 2026,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30904005.html,97,72,58,40,44,201401,,N,No presentada/o,,
3,Licenciatura 2026,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30904005.html,97,72,58,40,44,202480,47,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30904005.html,97,72,58,40,44,203200,42,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30904005.html,97,72,58,40,44,204234,52,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30904005.html,97,72,58,40,44,204965,,N,No presentada/o,,
3,Licenciatura 2026,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30904005.html,97,72,58,40,44,206066,46,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30904005.html,97,72,58,40,44,206486,37,,No seleccionada/o,,
3,Licenciatura 2026,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30904005.html,97,72,58,40,44,206757,,N,No presentada/o,,
3,Licenciatura 2026,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30904005.html,97,72,58,40,44,207139,48,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30904005.html,97,72,58,40,44,208044,,N,No presentada/o,,
3,Licenciatura 2026,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30904005.html,97,72,58,40,44,208141,56,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30904005.html,97,72,58,40,44,208758,62,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30904005.html,97,72,58,40,44,210397,49,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30904005.html,97,72,58,40,44,210833,41,S,Seleccionada/o,Cita para entregar documentación.,
