Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
3,Licenciatura 2026,310,31002005,RELACIONES INTERNACIONALES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31002005.html,63,374,227,57,108,200109,95,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,310,31002005,RELACIONES INTERNACIONALES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31002005.html,63,374,227,57,108,200203,55,,No seleccionada/o,,
3,Licenciatura 2026,310,31002005,RELACIONES INTERNACIONALES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31002005.html,63,374,227,57,108,200380,45,,No seleccionada/o,,
3,Licenciatura 2026,310,31002005,RELACIONES INTERNACIONALES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31002005.html,63,374,227,57,108,200410,,N,No presentada/o,,
3,Licenciatura 2026,310,31002005,RELACIONES INTERNACIONALES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31002005.html,63,374,227,57,108,200433,50,,No seleccionada/o,,
3,Licenciatura 2026,310,31002005,RELACIONES INTERNACIONALES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31002005.html,63,374,227,57,108,200554,42,,No seleccionada/o,,
3,Licenciatura 2026,310,31002005,RELACIONES INTERNACIONALES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31002005.html,63,374,227,57,108,200725,45,,No seleccionada/o,,
3,Licenciatura 2026,310,31002005,RELACIONES INTERNACIONALES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31002005.html,63,374,227,57,108,200925,52,,No seleccionada/o,,
3,Licenciatura 2026,310,31002005,RELACIONES INTERNACIONALES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31002005.html,63,374,227,57,108,201054,,N,No presentada/o,,
3,Licenciatura 2026,310,31002005,RELACIONES INTERNACIONALES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31002005.html,63,374,227,57,108,201223,58,S,Seleccionada/o,,
