Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
3,Licenciatura 2026,310,31004005,RELACIONES INTERNACIONALES,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31004005.html,82,428,243,62,103,200059,65,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,310,31004005,RELACIONES INTERNACIONALES,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31004005.html,82,428,243,62,103,200298,,N,No presentada/o,,
3,Licenciatura 2026,310,31004005,RELACIONES INTERNACIONALES,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31004005.html,82,428,243,62,103,200394,47,,No seleccionada/o,,
3,Licenciatura 2026,310,31004005,RELACIONES INTERNACIONALES,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31004005.html,82,428,243,62,103,200510,64,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,310,31004005,RELACIONES INTERNACIONALES,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31004005.html,82,428,243,62,103,200564,60,,No seleccionada/o,,
3,Licenciatura 2026,310,31004005,RELACIONES INTERNACIONALES,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31004005.html,82,428,243,62,103,200662,94,S,Seleccionada/o,,
3,Licenciatura 2026,310,31004005,RELACIONES INTERNACIONALES,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31004005.html,82,428,243,62,103,200734,51,,No seleccionada/o,,
3,Licenciatura 2026,310,31004005,RELACIONES INTERNACIONALES,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31004005.html,82,428,243,62,103,200800,,N,No presentada/o,,
3,Licenciatura 2026,310,31004005,RELACIONES INTERNACIONALES,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31004005.html,82,428,243,62,103,200818,36,,No seleccionada/o,,
3,Licenciatura 2026,310,31004005,RELACIONES INTERNACIONALES,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31004005.html,82,428,243,62,103,200845,32,,No seleccionada/o,,
3,Licenciatura 2026,310,31004005,RELACIONES INTERNACIONALES,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31004005.html,82,428,243,62,103,200926,34,,No seleccionada/o,,
3,Licenciatura 2026,310,31004005,RELACIONES INTERNACIONALES,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31004005.html,82,428,243,62,103,201067,52,,No seleccionada/o,,
3,Licenciatura 2026,310,31004005,RELACIONES INTERNACIONALES,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31004005.html,82,428,243,62,103,201293,,N,No presentada/o,,
3,Licenciatura 2026,310,31004005,RELACIONES INTERNACIONALES,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31004005.html,82,428,243,62,103,201339,,N,No presentada/o,,
3,Licenciatura 2026,310,31004005,RELACIONES INTERNACIONALES,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31004005.html,82,428,243,62,103,201547,88,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,310,31004005,RELACIONES INTERNACIONALES,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31004005.html,82,428,243,62,103,201815,,N,No presentada/o,,
3,Licenciatura 2026,310,31004005,RELACIONES INTERNACIONALES,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31004005.html,82,428,243,62,103,201816,75,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,310,31004005,RELACIONES INTERNACIONALES,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31004005.html,82,428,243,62,103,201954,,N,No presentada/o,,
3,Licenciatura 2026,310,31004005,RELACIONES INTERNACIONALES,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31004005.html,82,428,243,62,103,201992,56,,No seleccionada/o,,
3,Licenciatura 2026,310,31004005,RELACIONES INTERNACIONALES,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31004005.html,82,428,243,62,103,202070,81,S,Seleccionada/o,,
3,Licenciatura 2026,310,31004005,RELACIONES INTERNACIONALES,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31004005.html,82,428,243,62,103,202201,82,S,Seleccionada/o,Cita para entregar documentación.,
