Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
3,Licenciatura 2026,310,31006005,RELACIONES INTERNACIONALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31006005.html,45,78,66,40,63,204693,62,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,310,31006005,RELACIONES INTERNACIONALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31006005.html,45,78,66,40,63,208149,43,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,310,31006005,RELACIONES INTERNACIONALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31006005.html,45,78,66,40,63,223531,90,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,310,31006005,RELACIONES INTERNACIONALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31006005.html,45,78,66,40,63,225845,,S,Seleccionada/o,Cita para aclarar situación escolar.,
3,Licenciatura 2026,310,31006005,RELACIONES INTERNACIONALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31006005.html,45,78,66,40,63,228545,75,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,310,31006005,RELACIONES INTERNACIONALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31006005.html,45,78,66,40,63,241959,73,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,310,31006005,RELACIONES INTERNACIONALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31006005.html,45,78,66,40,63,246807,72,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,310,31006005,RELACIONES INTERNACIONALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31006005.html,45,78,66,40,63,247151,78,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,310,31006005,RELACIONES INTERNACIONALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31006005.html,45,78,66,40,63,247174,,N,No presentada/o,,
3,Licenciatura 2026,310,31006005,RELACIONES INTERNACIONALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31006005.html,45,78,66,40,63,247358,71,S,Seleccionada/o,Cita para entregar documentación.,
