Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,200230,68,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,200637,50,,No seleccionada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,200877,65,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,200923,59,,No seleccionada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,200953,44,,No seleccionada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,201573,84,S,Seleccionada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,202610,,N,No presentada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,202730,,N,No presentada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,204209,61,,No seleccionada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,204226,49,,No seleccionada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,204550,,N,No presentada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,205211,79,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,205229,50,,No seleccionada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,205490,80,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,205515,63,,No seleccionada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,206279,,N,No presentada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,206342,57,,No seleccionada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,206464,,S,Seleccionada/o,Cita para aclarar situación escolar.,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,206612,82,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,206710,,N,No presentada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,207512,72,S,Seleccionada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,207975,,N,No presentada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,208130,55,,No seleccionada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,208615,,N,No presentada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,208723,,N,No presentada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,209467,50,,No seleccionada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,210336,71,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,210389,,N,No presentada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,210459,50,,No seleccionada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,211946,54,,No seleccionada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,212029,65,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,212050,76,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,212509,54,,No seleccionada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,213074,53,,No seleccionada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,213541,66,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,213611,56,,No seleccionada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,214249,76,S,Seleccionada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,214299,60,,No seleccionada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,214315,59,,No seleccionada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,214361,,N,No presentada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,214545,69,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,214740,73,S,Seleccionada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,214911,70,S,Seleccionada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,215141,92,S,Seleccionada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,215176,,N,No presentada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,215376,,N,No presentada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,215550,75,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,215602,99,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,218259,,N,No presentada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,218477,59,,No seleccionada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,218656,52,,No seleccionada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,219104,68,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,220652,,N,No presentada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,221370,60,,No seleccionada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,221434,,N,No presentada/o,,
3,Licenciatura 2026,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html,66,147,111,65,67,221577,,N,No presentada/o,,
