Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31104005.html,47,119,95,40,84,200060,37,,No seleccionada/o,,
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31104005.html,47,119,95,40,84,200155,63,S,Seleccionada/o,,
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31104005.html,47,119,95,40,84,200609,,N,No presentada/o,,
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31104005.html,47,119,95,40,84,201663,43,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31104005.html,47,119,95,40,84,201673,68,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31104005.html,47,119,95,40,84,201712,42,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31104005.html,47,119,95,40,84,201782,35,,No seleccionada/o,,
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31104005.html,47,119,95,40,84,201961,48,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31104005.html,47,119,95,40,84,202271,67,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31104005.html,47,119,95,40,84,202400,51,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31104005.html,47,119,95,40,84,202418,,N,No presentada/o,,
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31104005.html,47,119,95,40,84,203085,46,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31104005.html,47,119,95,40,84,203998,51,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31104005.html,47,119,95,40,84,204785,61,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31104005.html,47,119,95,40,84,204815,49,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31104005.html,47,119,95,40,84,206295,42,S,Seleccionada/o,Cita para entregar documentación.,
