Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,203460,43,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,205787,61,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,206676,,N,No presentada/o,,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,207439,,N,No presentada/o,,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,217025,,N,No presentada/o,,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,221174,84,S,Seleccionada/o,,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,228569,60,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,233947,48,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,241644,55,S,Seleccionada/o,,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,246920,43,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,247087,48,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,247418,,N,No presentada/o,,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,247468,,N,No presentada/o,,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,247564,35,,No seleccionada/o,,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,247638,,N,No presentada/o,,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,247682,63,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,247689,44,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,247885,40,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,248050,40,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,248325,42,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,248574,44,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,248615,,N,No presentada/o,,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,248778,63,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,249669,86,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,249679,59,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,249940,52,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,250003,64,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,250228,,N,No presentada/o,,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,250510,,N,No presentada/o,,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,251062,74,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,251314,39,,No seleccionada/o,,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,251446,54,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,251494,,N,No presentada/o,,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,251502,,N,No presentada/o,,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,251543,,N,No presentada/o,,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,251595,78,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,251646,62,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,251931,63,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,252145,57,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,252699,56,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,252810,70,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,253213,58,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,253937,65,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,254009,36,,No seleccionada/o,,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,254079,62,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,254085,43,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,254121,70,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,254213,49,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,254368,46,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,254593,69,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,254840,38,,No seleccionada/o,,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,255073,41,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31506005,COMUNICACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31506005.html,45,75,58,40,51,255877,68,S,Seleccionada/o,Cita para entregar documentación.,
