Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
3,Licenciatura 2026,317,31707005,ESTUDIOS SOCIALES Y GESTION LOCAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31707005.html,40,14,7,46,7,219015,46,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,317,31707005,ESTUDIOS SOCIALES Y GESTION LOCAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31707005.html,40,14,7,46,7,246688,58,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,317,31707005,ESTUDIOS SOCIALES Y GESTION LOCAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31707005.html,40,14,7,46,7,246898,60,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,317,31707005,ESTUDIOS SOCIALES Y GESTION LOCAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31707005.html,40,14,7,46,7,250133,,N,No presentada/o,,
3,Licenciatura 2026,317,31707005,ESTUDIOS SOCIALES Y GESTION LOCAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31707005.html,40,14,7,46,7,251287,56,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,317,31707005,ESTUDIOS SOCIALES Y GESTION LOCAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31707005.html,40,14,7,46,7,252289,70,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,317,31707005,ESTUDIOS SOCIALES Y GESTION LOCAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31707005.html,40,14,7,46,7,254947,,N,No presentada/o,,
3,Licenciatura 2026,317,31707005,ESTUDIOS SOCIALES Y GESTION LOCAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31707005.html,40,14,7,46,7,255804,,N,No presentada/o,,
3,Licenciatura 2026,317,31707005,ESTUDIOS SOCIALES Y GESTION LOCAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31707005.html,40,14,7,46,7,256309,54,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,317,31707005,ESTUDIOS SOCIALES Y GESTION LOCAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31707005.html,40,14,7,46,7,256561,,N,No presentada/o,,
3,Licenciatura 2026,317,31707005,ESTUDIOS SOCIALES Y GESTION LOCAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31707005.html,40,14,7,46,7,256587,,N,No presentada/o,,
3,Licenciatura 2026,317,31707005,ESTUDIOS SOCIALES Y GESTION LOCAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31707005.html,40,14,7,46,7,256613,,N,No presentada/o,,
3,Licenciatura 2026,317,31707005,ESTUDIOS SOCIALES Y GESTION LOCAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31707005.html,40,14,7,46,7,256617,,N,No presentada/o,,
3,Licenciatura 2026,317,31707005,ESTUDIOS SOCIALES Y GESTION LOCAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31707005.html,40,14,7,46,7,256627,,S,Seleccionada/o,Cita para aclarar situación escolar.,
