Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
3,Licenciatura 2026,322,32200175,GEOGRAFIA APLICADA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/32200175.html,30,22,16,40,15,200356,63,S,Seleccionada/o,,
3,Licenciatura 2026,322,32200175,GEOGRAFIA APLICADA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/32200175.html,30,22,16,40,15,201611,,N,No presentada/o,,
3,Licenciatura 2026,322,32200175,GEOGRAFIA APLICADA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/32200175.html,30,22,16,40,15,202663,59,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,322,32200175,GEOGRAFIA APLICADA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/32200175.html,30,22,16,40,15,203601,68,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,322,32200175,GEOGRAFIA APLICADA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/32200175.html,30,22,16,40,15,210029,77,S,Seleccionada/o,,
3,Licenciatura 2026,322,32200175,GEOGRAFIA APLICADA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/32200175.html,30,22,16,40,15,210603,64,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,322,32200175,GEOGRAFIA APLICADA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/32200175.html,30,22,16,40,15,213210,,N,No presentada/o,,
3,Licenciatura 2026,322,32200175,GEOGRAFIA APLICADA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/32200175.html,30,22,16,40,15,219077,45,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,322,32200175,GEOGRAFIA APLICADA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/32200175.html,30,22,16,40,15,223681,76,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,322,32200175,GEOGRAFIA APLICADA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/32200175.html,30,22,16,40,15,228618,40,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,322,32200175,GEOGRAFIA APLICADA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/32200175.html,30,22,16,40,15,231924,,N,No presentada/o,,
3,Licenciatura 2026,322,32200175,GEOGRAFIA APLICADA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/32200175.html,30,22,16,40,15,234243,52,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,322,32200175,GEOGRAFIA APLICADA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/32200175.html,30,22,16,40,15,235308,,N,No presentada/o,,
3,Licenciatura 2026,322,32200175,GEOGRAFIA APLICADA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/32200175.html,30,22,16,40,15,237217,65,S,Seleccionada/o,,
3,Licenciatura 2026,322,32200175,GEOGRAFIA APLICADA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/32200175.html,30,22,16,40,15,237558,69,S,Seleccionada/o,,
