Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40200105.html,55,98,76,40,68,330081,52,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40200105.html,55,98,76,40,68,330202,48,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40200105.html,55,98,76,40,68,330210,43,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40200105.html,55,98,76,40,68,330232,69,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40200105.html,55,98,76,40,68,330376,47,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40200105.html,55,98,76,40,68,330405,45,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40200105.html,55,98,76,40,68,330407,59,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40200105.html,55,98,76,40,68,330420,50,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40200105.html,55,98,76,40,68,330469,53,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40200105.html,55,98,76,40,68,330544,70,S,Seleccionada/o,,
4,Licenciatura 2026,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40200105.html,55,98,76,40,68,330761,50,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40200105.html,55,98,76,40,68,331239,,N,No presentada/o,,
4,Licenciatura 2026,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40200105.html,55,98,76,40,68,331308,,S,Seleccionada/o,Cita para aclarar situación escolar.,
4,Licenciatura 2026,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40200105.html,55,98,76,40,68,331340,41,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40200105.html,55,98,76,40,68,331574,51,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40200105.html,55,98,76,40,68,331839,,N,No presentada/o,,
4,Licenciatura 2026,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40200105.html,55,98,76,40,68,331882,,N,No presentada/o,,
4,Licenciatura 2026,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40200105.html,55,98,76,40,68,332314,,N,No presentada/o,,
