Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,330152,,N,No presentada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,330220,,N,No presentada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,330282,54,,No seleccionada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,330555,78,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,330628,83,S,Seleccionada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,330633,34,,No seleccionada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,330645,,N,No presentada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,330680,51,,No seleccionada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,330718,,N,No presentada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,330804,58,,No seleccionada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,330896,,N,No presentada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,331002,52,,No seleccionada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,331165,71,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,331257,84,S,Seleccionada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,331284,,N,No presentada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,331345,37,,No seleccionada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,331424,,N,No presentada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,331684,88,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,331789,,N,No presentada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,331814,83,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,332079,,N,No presentada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,332109,104,S,Seleccionada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,332136,71,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,332226,99,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,332256,95,S,Seleccionada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,332269,,N,No presentada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,332341,90,S,Seleccionada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,332356,88,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,332358,,N,No presentada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,332629,68,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,332673,83,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,332687,61,,No seleccionada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,332718,,N,No presentada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,332793,,N,No presentada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,333019,,N,No presentada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,333052,94,S,Seleccionada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,333072,58,,No seleccionada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,333096,78,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,333118,40,,No seleccionada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,333133,,N,No presentada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,333312,,S,Seleccionada/o,Cita para aclarar situación escolar.,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,333373,,N,No presentada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,333420,82,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,333450,,N,No presentada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,333625,96,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,333652,63,,No seleccionada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,333728,65,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,333864,76,S,Seleccionada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,333918,65,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,333919,,S,Seleccionada/o,Cita para aclarar situación escolar.,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,334034,93,S,Seleccionada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,334053,51,,No seleccionada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,334073,55,,No seleccionada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,334076,53,,No seleccionada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,334158,,N,No presentada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,334446,,N,No presentada/o,,
4,Licenciatura 2026,405,40500025,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40500025.html,50,166,112,65,65,334522,,N,No presentada/o,,
