Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,408,40802005,ENSEÑANZA DE INGLES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40802005.html,98,130,68,40,67,330188,,N,No presentada/o,,
4,Licenciatura 2026,408,40802005,ENSEÑANZA DE INGLES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40802005.html,98,130,68,40,67,330613,,N,No presentada/o,,
4,Licenciatura 2026,408,40802005,ENSEÑANZA DE INGLES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40802005.html,98,130,68,40,67,330773,61,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,408,40802005,ENSEÑANZA DE INGLES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40802005.html,98,130,68,40,67,330922,54,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,408,40802005,ENSEÑANZA DE INGLES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40802005.html,98,130,68,40,67,330986,66,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,408,40802005,ENSEÑANZA DE INGLES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40802005.html,98,130,68,40,67,331485,,N,No presentada/o,,
4,Licenciatura 2026,408,40802005,ENSEÑANZA DE INGLES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40802005.html,98,130,68,40,67,331508,65,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,408,40802005,ENSEÑANZA DE INGLES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40802005.html,98,130,68,40,67,331643,50,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,408,40802005,ENSEÑANZA DE INGLES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40802005.html,98,130,68,40,67,331738,,N,No presentada/o,,
4,Licenciatura 2026,408,40802005,ENSEÑANZA DE INGLES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40802005.html,98,130,68,40,67,331928,,N,No presentada/o,,
4,Licenciatura 2026,408,40802005,ENSEÑANZA DE INGLES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40802005.html,98,130,68,40,67,332091,60,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,408,40802005,ENSEÑANZA DE INGLES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40802005.html,98,130,68,40,67,332244,81,S,Seleccionada/o,,
4,Licenciatura 2026,408,40802005,ENSEÑANZA DE INGLES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40802005.html,98,130,68,40,67,332318,,N,No presentada/o,,
4,Licenciatura 2026,408,40802005,ENSEÑANZA DE INGLES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40802005.html,98,130,68,40,67,332328,65,S,Seleccionada/o,,
4,Licenciatura 2026,408,40802005,ENSEÑANZA DE INGLES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40802005.html,98,130,68,40,67,332389,,N,No presentada/o,,
4,Licenciatura 2026,408,40802005,ENSEÑANZA DE INGLES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40802005.html,98,130,68,40,67,332417,,N,No presentada/o,,
