Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,411,41100105,FILOSOFIA,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41100105.html,50,96,73,43,71,330009,93,S,Seleccionada/o,,
4,Licenciatura 2026,411,41100105,FILOSOFIA,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41100105.html,50,96,73,43,71,330015,76,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,411,41100105,FILOSOFIA,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41100105.html,50,96,73,43,71,330033,95,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,411,41100105,FILOSOFIA,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41100105.html,50,96,73,43,71,330166,72,S,Seleccionada/o,,
4,Licenciatura 2026,411,41100105,FILOSOFIA,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41100105.html,50,96,73,43,71,330204,72,S,Seleccionada/o,,
4,Licenciatura 2026,411,41100105,FILOSOFIA,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41100105.html,50,96,73,43,71,330230,62,S,Seleccionada/o,,
4,Licenciatura 2026,411,41100105,FILOSOFIA,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41100105.html,50,96,73,43,71,330404,54,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,411,41100105,FILOSOFIA,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41100105.html,50,96,73,43,71,330864,,N,No presentada/o,,
4,Licenciatura 2026,411,41100105,FILOSOFIA,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41100105.html,50,96,73,43,71,330881,92,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,411,41100105,FILOSOFIA,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41100105.html,50,96,73,43,71,331066,99,S,Seleccionada/o,,
4,Licenciatura 2026,411,41100105,FILOSOFIA,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41100105.html,50,96,73,43,71,331349,,N,No presentada/o,,
4,Licenciatura 2026,411,41100105,FILOSOFIA,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41100105.html,50,96,73,43,71,331488,84,S,Seleccionada/o,,
4,Licenciatura 2026,411,41100105,FILOSOFIA,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41100105.html,50,96,73,43,71,331890,85,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,411,41100105,FILOSOFIA,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41100105.html,50,96,73,43,71,331904,65,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,411,41100105,FILOSOFIA,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41100105.html,50,96,73,43,71,331925,87,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,411,41100105,FILOSOFIA,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41100105.html,50,96,73,43,71,331947,77,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,411,41100105,FILOSOFIA,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41100105.html,50,96,73,43,71,331954,78,S,Seleccionada/o,Cita para entregar documentación.,
