Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,330034,62,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,330085,65,S,Seleccionada/o,,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,330089,83,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,330118,41,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,330168,44,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,330223,78,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,330254,72,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,330475,,N,No presentada/o,,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,330508,45,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,330562,42,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,331221,51,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,331505,57,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,331699,63,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,331730,54,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,331758,42,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,331772,47,S,Seleccionada/o,,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,332083,73,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,332181,47,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,332388,67,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,332630,57,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,333049,58,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,333219,54,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,333289,48,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,333498,61,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,333693,65,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,333860,66,S,Seleccionada/o,,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,333944,62,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,333971,,S,Seleccionada/o,Cita para aclarar situación escolar.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,333980,62,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,334224,,N,No presentada/o,,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,334245,39,,No seleccionada/o,,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,334532,50,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,334536,,N,No presentada/o,,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,334580,53,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41202005.html,47,83,76,40,72,334609,37,,No seleccionada/o,,
