Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41211005.html,20,29,21,46,21,344991,66,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41211005.html,20,29,21,46,21,345103,58,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41211005.html,20,29,21,46,21,345104,56,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41211005.html,20,29,21,46,21,345171,54,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41211005.html,20,29,21,46,21,345453,47,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41211005.html,20,29,21,46,21,345491,,N,No presentada/o,,
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41211005.html,20,29,21,46,21,345752,70,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41211005.html,20,29,21,46,21,345822,86,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41211005.html,20,29,21,46,21,345870,64,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41211005.html,20,29,21,46,21,345927,60,S,Seleccionada/o,,
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41211005.html,20,29,21,46,21,345932,,N,No presentada/o,,
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41211005.html,20,29,21,46,21,345963,,N,No presentada/o,,
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41211005.html,20,29,21,46,21,346287,58,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41211005.html,20,29,21,46,21,346347,68,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41211005.html,20,29,21,46,21,346380,57,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41211005.html,20,29,21,46,21,346560,60,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41211005.html,20,29,21,46,21,346603,60,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41211005.html,20,29,21,46,21,346672,63,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41211005.html,20,29,21,46,21,346684,65,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41211005.html,20,29,21,46,21,346699,46,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41211005.html,20,29,21,46,21,346702,82,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41211005.html,20,29,21,46,21,346757,,N,No presentada/o,,
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41211005.html,20,29,21,46,21,346772,,N,No presentada/o,,
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41211005.html,20,29,21,46,21,346948,,N,No presentada/o,,
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41211005.html,20,29,21,46,21,346967,60,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,412,41211005,HISTORIA,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41211005.html,20,29,21,46,21,347026,72,S,Seleccionada/o,Cita para entregar documentación.,
