Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,419,41900105,LETRAS CLASICAS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41900105.html,20,33,28,50,27,330591,58,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,419,41900105,LETRAS CLASICAS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41900105.html,20,33,28,50,27,330668,76,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,419,41900105,LETRAS CLASICAS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41900105.html,20,33,28,50,27,330829,39,,No seleccionada/o,,
4,Licenciatura 2026,419,41900105,LETRAS CLASICAS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41900105.html,20,33,28,50,27,332271,,N,No presentada/o,,
4,Licenciatura 2026,419,41900105,LETRAS CLASICAS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41900105.html,20,33,28,50,27,332376,71,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,419,41900105,LETRAS CLASICAS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41900105.html,20,33,28,50,27,332951,62,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,419,41900105,LETRAS CLASICAS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41900105.html,20,33,28,50,27,333176,70,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,419,41900105,LETRAS CLASICAS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41900105.html,20,33,28,50,27,333906,64,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,419,41900105,LETRAS CLASICAS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41900105.html,20,33,28,50,27,334626,51,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,419,41900105,LETRAS CLASICAS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41900105.html,20,33,28,50,27,334676,87,S,Seleccionada/o,,
4,Licenciatura 2026,419,41900105,LETRAS CLASICAS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41900105.html,20,33,28,50,27,334677,76,S,Seleccionada/o,,
4,Licenciatura 2026,419,41900105,LETRAS CLASICAS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41900105.html,20,33,28,50,27,334685,50,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,419,41900105,LETRAS CLASICAS,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/41900105.html,20,33,28,50,27,334703,,N,No presentada/o,,
