Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,421,42102005,PEDAGOGIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42102005.html,85,314,196,48,114,330045,,N,No presentada/o,,
4,Licenciatura 2026,421,42102005,PEDAGOGIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42102005.html,85,314,196,48,114,330069,,N,No presentada/o,,
4,Licenciatura 2026,421,42102005,PEDAGOGIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42102005.html,85,314,196,48,114,330070,42,,No seleccionada/o,,
4,Licenciatura 2026,421,42102005,PEDAGOGIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42102005.html,85,314,196,48,114,330073,,N,No presentada/o,,
4,Licenciatura 2026,421,42102005,PEDAGOGIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42102005.html,85,314,196,48,114,330106,56,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,421,42102005,PEDAGOGIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42102005.html,85,314,196,48,114,330128,61,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,421,42102005,PEDAGOGIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42102005.html,85,314,196,48,114,330154,51,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,421,42102005,PEDAGOGIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42102005.html,85,314,196,48,114,330252,47,,No seleccionada/o,,
4,Licenciatura 2026,421,42102005,PEDAGOGIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42102005.html,85,314,196,48,114,330281,54,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,421,42102005,PEDAGOGIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42102005.html,85,314,196,48,114,330294,52,S,Seleccionada/o,,
