Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42200135.html,33,20,16,49,16,330018,81,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42200135.html,33,20,16,49,16,330029,71,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42200135.html,33,20,16,49,16,330162,64,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42200135.html,33,20,16,49,16,330713,49,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42200135.html,33,20,16,49,16,331614,64,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42200135.html,33,20,16,49,16,332042,,N,No presentada/o,,
4,Licenciatura 2026,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42200135.html,33,20,16,49,16,333063,,N,No presentada/o,,
4,Licenciatura 2026,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42200135.html,33,20,16,49,16,333310,59,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42200135.html,33,20,16,49,16,333585,66,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42200135.html,33,20,16,49,16,334818,61,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42200135.html,33,20,16,49,16,335340,,N,No presentada/o,,
4,Licenciatura 2026,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42200135.html,33,20,16,49,16,338055,62,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42200135.html,33,20,16,49,16,339114,,N,No presentada/o,,
4,Licenciatura 2026,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42200135.html,33,20,16,49,16,341093,,S,Seleccionada/o,Cita para aclarar situación escolar.,
4,Licenciatura 2026,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42200135.html,33,20,16,49,16,342135,89,S,Seleccionada/o,,
4,Licenciatura 2026,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42200135.html,33,20,16,49,16,342146,83,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42200135.html,33,20,16,49,16,342233,57,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42200135.html,33,20,16,49,16,343696,62,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42200135.html,33,20,16,49,16,347302,72,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42200135.html,33,20,16,49,16,348014,87,S,Seleccionada/o,Cita para entregar documentación.,
