Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,429,42906005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42906005.html,36,11,9,47,8,330004,47,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,429,42906005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42906005.html,36,11,9,47,8,330948,,N,No presentada/o,,
4,Licenciatura 2026,429,42906005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42906005.html,36,11,9,47,8,345075,38,,No seleccionada/o,,
4,Licenciatura 2026,429,42906005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42906005.html,36,11,9,47,8,345368,55,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,429,42906005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42906005.html,36,11,9,47,8,345504,54,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,429,42906005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42906005.html,36,11,9,47,8,345953,66,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,429,42906005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42906005.html,36,11,9,47,8,346091,57,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,429,42906005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42906005.html,36,11,9,47,8,346897,,N,No presentada/o,,
4,Licenciatura 2026,429,42906005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42906005.html,36,11,9,47,8,347128,54,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,429,42906005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42906005.html,36,11,9,47,8,347397,59,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,429,42906005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42906005.html,36,11,9,47,8,347417,82,S,Seleccionada/o,Cita para entregar documentación.,
