Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,432,43207005,LITERATURA INTERCULTURAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43207005.html,40,14,10,45,10,330246,72,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,432,43207005,LITERATURA INTERCULTURAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43207005.html,40,14,10,45,10,341215,60,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,432,43207005,LITERATURA INTERCULTURAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43207005.html,40,14,10,45,10,345178,65,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,432,43207005,LITERATURA INTERCULTURAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43207005.html,40,14,10,45,10,345239,68,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,432,43207005,LITERATURA INTERCULTURAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43207005.html,40,14,10,45,10,345685,57,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,432,43207005,LITERATURA INTERCULTURAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43207005.html,40,14,10,45,10,346261,,N,No presentada/o,,
4,Licenciatura 2026,432,43207005,LITERATURA INTERCULTURAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43207005.html,40,14,10,45,10,346329,,N,No presentada/o,,
4,Licenciatura 2026,432,43207005,LITERATURA INTERCULTURAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43207005.html,40,14,10,45,10,346484,,N,No presentada/o,,
4,Licenciatura 2026,432,43207005,LITERATURA INTERCULTURAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43207005.html,40,14,10,45,10,346674,65,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,432,43207005,LITERATURA INTERCULTURAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43207005.html,40,14,10,45,10,346742,45,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,432,43207005,LITERATURA INTERCULTURAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43207005.html,40,14,10,45,10,346861,60,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,432,43207005,LITERATURA INTERCULTURAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43207005.html,40,14,10,45,10,347396,52,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,432,43207005,LITERATURA INTERCULTURAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43207005.html,40,14,10,45,10,347422,,N,No presentada/o,,
4,Licenciatura 2026,432,43207005,LITERATURA INTERCULTURAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43207005.html,40,14,10,45,10,347426,60,S,Seleccionada/o,Cita para entregar documentación.,
