Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
4,Licenciatura 2026,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43307005.html,40,18,13,45,13,332840,64,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43307005.html,40,18,13,45,13,339946,55,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43307005.html,40,18,13,45,13,340279,54,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43307005.html,40,18,13,45,13,342470,51,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43307005.html,40,18,13,45,13,344987,52,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43307005.html,40,18,13,45,13,345050,,N,No presentada/o,,
4,Licenciatura 2026,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43307005.html,40,18,13,45,13,345444,59,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43307005.html,40,18,13,45,13,346321,62,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43307005.html,40,18,13,45,13,347154,,N,No presentada/o,,
4,Licenciatura 2026,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43307005.html,40,18,13,45,13,347282,47,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43307005.html,40,18,13,45,13,347285,,N,No presentada/o,,
4,Licenciatura 2026,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43307005.html,40,18,13,45,13,347401,45,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43307005.html,40,18,13,45,13,347405,89,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43307005.html,40,18,13,45,13,347410,58,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43307005.html,40,18,13,45,13,347420,58,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43307005.html,40,18,13,45,13,347429,,N,No presentada/o,,
4,Licenciatura 2026,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43307005.html,40,18,13,45,13,347430,48,S,Seleccionada/o,Cita para entregar documentación.,
4,Licenciatura 2026,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43307005.html,40,18,13,45,13,347431,,N,No presentada/o,,
